iter	Logloss
0	0.667468227
1	0.6441673782
2	0.62209427
3	0.6018111298
4	0.5827251407
5	0.5652747162
6	0.5490311251
7	0.5339510488
8	0.5196250674
9	0.5060435988
10	0.4937744101
11	0.4823882971
12	0.4717229351
13	0.4615317638
14	0.4524481183
15	0.4439844766
16	0.4357409051
17	0.4286397917
18	0.4218031634
19	0.4156562507
20	0.409957106
21	0.4044990942
22	0.3994213406
23	0.3943175996
24	0.3899697363
25	0.3857284001
26	0.3816798151
27	0.3781610898
28	0.3737239288
29	0.3703008851
30	0.3673944291
31	0.3647941473
32	0.362318727
33	0.3597860407
34	0.3575479533
35	0.3550264684
36	0.3531833703
37	0.3511437643
38	0.3492478802
39	0.3475428442
40	0.3459134864
41	0.3443617343
42	0.3422497433
43	0.3409646682
44	0.3397328844
45	0.3387328012
46	0.3375565029
47	0.3363602001
48	0.334907036
49	0.3335083523
50	0.3327526286
51	0.3319306675
52	0.3311036243
53	0.330331986
54	0.3296849245
55	0.3289673207
56	0.3283295125
57	0.3278636446
58	0.3272495993
59	0.3267277163
60	0.3261028186
61	0.32556833
62	0.3251291836
63	0.3248010904
64	0.3243662579
65	0.3236418579
66	0.3232813345
67	0.3229265586
68	0.3224665553
69	0.3221939164
70	0.3218322535
71	0.32120856
72	0.3209098742
73	0.3205299004
74	0.320104863
75	0.3198648757
76	0.3192077254
77	0.3187931406
78	0.3184985374
79	0.31821294
80	0.3179833936
81	0.3177931275
82	0.3174221972
83	0.3171225822
84	0.3169440596
85	0.3165124058
86	0.3163035232
87	0.3161030961
88	0.3158644687
89	0.3154681759
90	0.3153185938
91	0.3152004094
92	0.3149450029
93	0.3147968798
94	0.314590494
95	0.3144105967
96	0.314214428
97	0.314015998
98	0.3138391587
99	0.3136202241
100	0.3133620881
101	0.313217979
102	0.3130454779
103	0.3128142847
104	0.3126738612
105	0.3125573778
106	0.3123731421
107	0.3120943639
108	0.3120191184
109	0.3117836679
110	0.3116179113
111	0.3114686574
112	0.3113173062
113	0.3112289204
114	0.3110464903
115	0.3109981263
116	0.3108953221
117	0.3107511339
118	0.3106320585
119	0.3104271831
120	0.3103190372
121	0.3102526174
122	0.3101305763
123	0.3100828579
124	0.3099928659
125	0.3098876752
126	0.309623935
127	0.3095032815
128	0.3093931698
129	0.3092837612
130	0.3091285959
131	0.3090287618
132	0.308932661
133	0.3088237774
134	0.3086766464
135	0.3085251548
136	0.3084153668
137	0.308311077
138	0.3082243694
139	0.308133796
140	0.3080066035
141	0.3078997948
142	0.3077859126
143	0.3076313067
144	0.3075215322
145	0.3074531168
146	0.3073442142
147	0.3072259314
148	0.3071292244
149	0.3070320289
