iter	Passed	Remaining
0	74	11153
1	78	5814
2	85	4187
3	89	3259
4	93	2699
5	97	2329
6	103	2108
7	107	1915
8	112	1760
9	123	1727
10	127	1616
11	134	1544
12	140	1477
13	149	1454
14	156	1411
15	161	1354
16	168	1315
17	172	1267
18	176	1219
19	183	1190
20	187	1153
21	190	1110
22	194	1074
23	201	1060
24	205	1026
25	209	999
26	214	978
27	219	955
28	222	927
29	225	902
30	229	880
31	232	855
32	235	836
33	239	816
34	242	797
35	247	783
36	252	771
37	256	755
38	259	739
39	265	729
40	269	717
41	274	704
42	277	690
43	282	680
44	285	666
45	289	654
46	292	641
47	297	632
48	302	623
49	306	612
50	309	600
51	313	590
52	316	578
53	319	567
54	322	557
55	328	550
56	332	542
57	336	533
58	339	523
59	343	515
60	346	506
61	350	497
62	353	488
63	358	481
64	363	475
65	367	468
66	371	459
67	374	451
68	378	444
69	381	436
70	385	428
71	388	420
72	392	413
73	397	408
74	401	401
75	404	393
76	407	386
77	411	379
78	415	373
79	420	367
80	423	360
81	427	354
82	430	347
83	433	340
84	436	333
85	439	327
86	443	320
87	446	314
88	449	308
89	452	301
90	456	296
91	461	290
92	465	285
93	469	279
94	474	274
95	479	269
96	483	264
97	486	258
98	490	252
99	493	246
100	496	240
101	499	235
102	504	230
103	508	224
104	513	219
105	516	214
106	518	208
107	522	203
108	525	197
109	528	192
110	532	186
111	535	181
112	538	176
113	544	171
114	548	166
115	551	161
116	555	156
117	558	151
118	563	146
119	567	141
120	571	137
121	575	132
122	578	126
123	581	121
124	584	116
125	588	112
126	592	107
127	596	102
128	600	97
129	603	92
130	607	88
131	610	83
132	613	78
133	616	73
134	620	68
135	623	64
136	626	59
137	629	54
138	632	50
139	635	45
140	640	40
141	644	36
142	647	31
143	651	27
144	656	22
145	660	18
146	663	13
147	667	9
148	671	4
149	674	0
