key,types,level_one,level_two
"-0.12,-78.49",street_address,El Rosario,Pichincha
"-0.12,-78.50",street_address,Cotocollao,Pichincha
"-0.16,-78.48",street_address,El Inca,Pichincha
"-0.16,-78.49",street_address,Chaupicruz,Pichincha
"-0.21,-78.48",establishment,Quito,Pichincha
"-0.21,-78.49",premise,La Floresta,Pichincha
"-0.21,-78.50",establishment,Quito,Pichincha
"-0.22,-78.49",street_address,Vicentina,Pichincha
"-0.22,-78.50",route,Quito,Pichincha
"-0.85,-48.13",street_address,Vigia,Pará
"-0.85,-48.14",street_address,Vigia,Pará
"-1.41,-48.46",establishment,Marambaia,Pará
"-1.44,-48.49",premise,Umarizal,Pará
"-1.44,-48.50",street_address,Umarizal,Pará
"-1.45,-48.47",premise,São Brás,Pará
"-1.45,-48.48",premise,Telégrafo Sem Fio,Pará
"-1.45,-48.49",establishment,Reduto,Pará
"-1.45,-48.50",street_address,Reduto,Pará
"-12.08,-77.07",street_address,Colmenares,Municipalidad Metropolitana de Lima
"-12.09,-77.06",street_address,Cercado de Lima,Municipalidad Metropolitana de Lima
"-12.09,-77.07",street_address,Urb Orbea,Municipalidad Metropolitana de Lima
"-12.25,-38.96",street_address,Centro,Bahia
"-12.98,-38.44",street_address,Boca do Rio,Bahia
"-12.99,-38.44",street_address,Jardim Armacao,Bahia
"-12.99,-38.45",street_address,Pituba,Bahia
"-12.99,-38.46",book_store,Pituba,Bahia
"-12.99,-38.52",establishment,Canela,Bahia
"-13.00,-38.45",street_address,Pituba,Bahia
"-13.00,-38.46",bus_station,Salvador,Bahia
"-13.00,-38.48",route,Salvador,Bahia
"-13.00,-38.49",street_address,Horto Florestal,Bahia
"-15.75,-47.83",route,Brasília,Distrito Federal
"-15.75,-47.84",premise,Brasília,Distrito Federal
"-15.76,-47.83",street_address,Brasília,Distrito Federal
"-17.63,-149.60",premise,French Polynesia,Îles du Vent
"-19.87,-43.99",street_address,Itamarati,Minas Gerais
"-2.14,-79.88",establishment,Guayas,Guayas
"-2.14,-79.89",establishment,Guayaquil,Guayas
"-2.15,-79.89",street_address,Garzota,Guayas
"-2.17,-79.90",route,Guayaquil,Guayas
"-2.17,-79.91",street_address,Urdesa,Guayas
"-20.19,-44.00",street_address,Retiro Do Chale,Minas Gerais
"-20.42,-54.56",street_address,Parque dos Novos Estados,Mato Grosso do Sul
"-20.42,-54.57",street_address,Conjunto Residencial Mata do Jacinto,Mato Grosso do Sul
"-20.43,-54.56",street_address,Estrela Dalva,Mato Grosso do Sul
"-20.43,-54.57",street_address,Carandá Bosque,Mato Grosso do Sul
"-20.43,-54.58",accounting,Vila Margarida,Mato Grosso do Sul
"-20.44,-54.57",premise,Carandá Bosque,Mato Grosso do Sul
"-20.44,-54.60",street_address,Coronel Antonino,Mato Grosso do Sul
"-20.45,-54.60",street_address,Cruzeiro,Mato Grosso do Sul
"-20.46,-54.59",street_address,Chácara Cachoeira,Mato Grosso do Sul
"-20.46,-54.60",street_address,Jardim dos Estados,Mato Grosso do Sul
"-20.47,-54.59",street_address,Itanhangá Park,Mato Grosso do Sul
"-20.65,-43.77",street_address,Vila Resende,Minas Gerais
"-20.66,-43.77",premise,Quintas do Sol,Minas Gerais
"-20.66,-43.78",street_address,Santo Antonio,Minas Gerais
"-20.96,55.29",route,Réunion,Saint-Paul
"-20.96,55.30",route,Réunion,Saint-Paul
"-21.22,55.47",route,Saint-Pierre,Saint-Pierre
"-21.33,55.46",route,Saint-Pierre,Saint-Pierre
"-21.34,55.46",establishment,La Ravine Blanche,Saint-Pierre
"-21.45,-43.55",street_address,Santos Dumont,Minas Gerais
"-22.30,166.44",street_address,Baie des Citrons,Province Sud
"-22.30,166.45",route,Province Sud,Province Sud
"-22.31,166.44",route,Noumea,Province Sud
"-22.57,148.36",route,Isaac Regional,Queensland
"-22.58,148.34",route,Isaac Regional,Queensland
"-22.58,148.35",premise,Dysart,Queensland
"-22.58,148.36",establishment,Dysart,Queensland
